date,value
2002-01-01_12_00,205.16110229492188
2002-01-01_06_00,195.94451904296875
2002-01-01_12_00,189.81942749023438
2002-01-01_06_00,222.19024658203125
2002-01-02_12_00,205.5801544189453
2002-01-02_06_00,200.49415588378906
2002-01-02_12_00,199.42291259765625
2002-01-02_06_00,204.841796875
2002-01-03_12_00,195.12074279785156
2002-01-03_06_00,199.42193603515625
2002-01-03_12_00,259.8489990234375
2002-01-03_06_00,221.33944702148438
2002-01-04_12_00,193.9509735107422
2002-01-04_06_00,194.56521606445312
2002-01-04_12_00,204.45123291015625
2002-01-04_06_00,233.3033447265625
2002-01-05_12_00,304.02197265625
2002-01-05_06_00,250.8323974609375
2002-01-05_12_00,299.726806640625
2002-01-05_06_00,308.79803466796875
2002-01-06_12_00,308.5339050292969
2002-01-06_06_00,314.1353454589844
2002-01-06_12_00,305.2720947265625
2002-01-06_06_00,296.02899169921875
2002-01-07_12_00,285.8677978515625
2002-01-07_06_00,273.17181396484375
2002-01-07_12_00,245.20318603515625
2002-01-07_06_00,213.9261474609375
2002-01-08_12_00,201.855712890625
2002-01-08_06_00,217.87326049804688
2002-01-08_12_00,228.10960388183594
2002-01-08_06_00,254.48924255371094
2002-01-09_12_00,283.62091064453125
2002-01-09_06_00,272.5708312988281
2002-01-09_12_00,273.2157897949219
2002-01-09_06_00,339.84991455078125
2002-01-10_12_00,347.7813720703125
2002-01-10_06_00,319.5738525390625
2002-01-10_12_00,326.79571533203125
2002-01-10_06_00,327.8663330078125
2002-01-11_12_00,293.8029479980469
2002-01-11_06_00,228.5060577392578
2002-01-11_12_00,225.29376220703125
2002-01-11_06_00,235.44381713867188
2002-01-12_12_00,235.44204711914062
2002-01-12_06_00,232.8673858642578
2002-01-12_12_00,274.7044677734375
2002-01-12_06_00,312.0367736816406
2002-01-13_12_00,245.51980590820312
2002-01-13_06_00,224.34034729003906
2002-01-13_12_00,259.0828857421875
2002-01-13_06_00,271.3276672363281
2002-01-14_12_00,290.411865234375
2002-01-14_06_00,308.7421569824219
2002-01-14_12_00,329.9487609863281
2002-01-14_06_00,309.6463623046875
2002-01-15_12_00,305.4908142089844
2002-01-15_06_00,305.0437316894531
2002-01-15_12_00,298.1438293457031
2002-01-15_06_00,294.9975891113281
2002-01-16_12_00,276.739013671875
2002-01-16_06_00,263.0253601074219
2002-01-16_12_00,289.2047119140625
2002-01-16_06_00,307.0951232910156
2002-01-17_12_00,296.3236083984375
2002-01-17_06_00,237.67359924316406
2002-01-17_12_00,204.61184692382812
2002-01-17_06_00,216.44285583496094
2002-01-18_12_00,202.07040405273438
2002-01-18_06_00,222.81399536132812
2002-01-18_12_00,186.39346313476562
2002-01-18_06_00,194.06109619140625
2002-01-19_12_00,220.6503448486328
2002-01-19_06_00,247.04119873046875
2002-01-19_12_00,246.9193572998047
2002-01-19_06_00,211.66123962402344
2002-01-20_12_00,254.27908325195312
2002-01-20_06_00,234.6786346435547
2002-01-20_12_00,284.6319580078125
2002-01-20_06_00,232.1057586669922
2002-01-21_12_00,282.1216125488281
2002-01-21_06_00,292.16259765625
2002-01-21_12_00,307.54803466796875
2002-01-21_06_00,301.8479919433594
2002-01-22_12_00,242.6531219482422
2002-01-22_06_00,230.96142578125
2002-01-22_12_00,232.88516235351562
2002-01-22_06_00,259.8570251464844
2002-01-23_12_00,281.67578125
2002-01-23_06_00,341.27191162109375
2002-01-23_12_00,350.092529296875
2002-01-23_06_00,351.2435607910156
2002-01-24_12_00,324.2802429199219
2002-01-24_06_00,312.01947021484375
2002-01-24_12_00,303.94976806640625
2002-01-24_06_00,245.36624145507812
2002-01-25_12_00,216.9443359375
2002-01-25_06_00,218.2433624267578
2002-01-25_12_00,224.60015869140625
2002-01-25_06_00,243.57183837890625
2002-01-26_12_00,240.07269287109375
2002-01-26_06_00,236.38479614257812
2002-01-26_12_00,242.75424194335938
2002-01-26_06_00,260.5100402832031
2002-01-27_12_00,252.65562438964844
2002-01-27_06_00,242.5519256591797
2002-01-27_12_00,244.27511596679688
2002-01-27_06_00,257.7162780761719
2002-01-28_12_00,264.3127136230469
2002-01-28_06_00,262.42510986328125
2002-01-28_12_00,285.4751892089844
2002-01-28_06_00,345.2015686035156
2002-01-29_12_00,335.3730773925781
2002-01-29_06_00,321.1661071777344
2002-01-29_12_00,305.4496765136719
2002-01-29_06_00,310.200439453125
2002-01-30_12_00,307.71038818359375
2002-01-30_06_00,305.04638671875
2002-01-30_12_00,303.2619323730469
2002-01-30_06_00,303.7120666503906
2002-01-31_12_00,303.35406494140625
2002-01-31_06_00,308.7235107421875
2002-01-31_12_00,315.6675109863281
2002-01-31_06_00,310.1513977050781
2002-02-01_12_00,320.50396728515625
2002-02-01_06_00,314.3658752441406
2002-02-01_12_00,288.75640869140625
2002-02-01_06_00,288.4905700683594
2002-02-02_12_00,207.25436401367188
2002-02-02_06_00,234.7763214111328
2002-02-02_12_00,237.79852294921875
2002-02-02_06_00,227.95068359375
2002-02-03_12_00,220.20770263671875
2002-02-03_06_00,292.8166809082031
2002-02-03_12_00,245.81283569335938
2002-02-03_06_00,311.84771728515625
2002-02-04_12_00,284.54986572265625
2002-02-04_06_00,208.57293701171875
2002-02-04_12_00,206.23927307128906
2002-02-04_06_00,239.2209014892578
2002-02-05_12_00,187.3067626953125
2002-02-05_06_00,184.30877685546875
2002-02-05_12_00,205.62588500976562
2002-02-05_06_00,251.1795654296875
2002-02-06_12_00,302.9023132324219
2002-02-06_06_00,297.6919250488281
2002-02-06_12_00,229.78355407714844
2002-02-06_06_00,231.8807373046875
2002-02-07_12_00,232.09759521484375
2002-02-07_06_00,276.0528869628906
2002-02-07_12_00,310.1419677734375
2002-02-07_06_00,317.6372375488281
2002-02-08_12_00,315.110107421875
2002-02-08_06_00,312.7020263671875
2002-02-08_12_00,317.89642333984375
2002-02-08_06_00,333.6440734863281
2002-02-09_12_00,326.5616149902344
2002-02-09_06_00,302.0552978515625
2002-02-09_12_00,329.4500732421875
2002-02-09_06_00,264.7712097167969
2002-02-10_12_00,302.14996337890625
2002-02-10_06_00,305.3034362792969
2002-02-10_12_00,306.7093505859375
2002-02-10_06_00,306.8797607421875
2002-02-11_12_00,296.4029235839844
2002-02-11_06_00,281.0429992675781
2002-02-11_12_00,260.24810791015625
2002-02-11_06_00,248.01727294921875
2002-02-12_12_00,257.08184814453125
2002-02-12_06_00,303.14501953125
2002-02-12_12_00,277.1789245605469
2002-02-12_06_00,299.5958557128906
2002-02-13_12_00,246.727783203125
2002-02-13_06_00,195.76002502441406
2002-02-13_12_00,191.39817810058594
2002-02-13_06_00,206.85899353027344
2002-02-14_12_00,211.59571838378906
2002-02-14_06_00,220.345947265625
2002-02-14_12_00,232.09034729003906
2002-02-14_06_00,268.9997863769531
2002-02-15_12_00,271.79656982421875
2002-02-15_06_00,280.9629821777344
2002-02-15_12_00,316.218994140625
2002-02-15_06_00,315.5185241699219
2002-02-16_12_00,260.6638488769531
2002-02-16_06_00,284.8483581542969
2002-02-16_12_00,313.6312255859375
2002-02-16_06_00,305.3832092285156
2002-02-17_12_00,249.28692626953125
2002-02-17_06_00,245.05291748046875
2002-02-17_12_00,226.68197631835938
2002-02-17_06_00,223.4883270263672
2002-02-18_12_00,217.29632568359375
2002-02-18_06_00,225.76849365234375
2002-02-18_12_00,244.17367553710938
2002-02-18_06_00,275.3345947265625
2002-02-19_12_00,293.2345886230469
2002-02-19_06_00,330.6098937988281
2002-02-19_12_00,339.57464599609375
2002-02-19_06_00,347.146728515625
2002-02-20_12_00,352.5933532714844
2002-02-20_06_00,362.3966369628906
2002-02-20_12_00,360.2228698730469
2002-02-20_06_00,329.8459777832031
2002-02-21_12_00,316.6073303222656
2002-02-21_06_00,311.81304931640625
2002-02-21_12_00,303.42138671875
2002-02-21_06_00,297.2581481933594
2002-02-22_12_00,292.7635498046875
2002-02-22_06_00,220.23048400878906
2002-02-22_12_00,219.6156005859375
2002-02-22_06_00,215.8587646484375
2002-02-23_12_00,219.70704650878906
2002-02-23_06_00,213.95571899414062
2002-02-23_12_00,228.79595947265625
2002-02-23_06_00,258.9267883300781
2002-02-24_12_00,306.13873291015625
2002-02-24_06_00,254.82139587402344
2002-02-24_12_00,281.13372802734375
2002-02-24_06_00,272.30828857421875
2002-02-25_12_00,274.56787109375
2002-02-25_06_00,295.8400573730469
2002-02-25_12_00,326.6075134277344
2002-02-25_06_00,310.1840515136719
2002-02-26_12_00,302.1106262207031
2002-02-26_06_00,295.64727783203125
2002-02-26_12_00,283.1960144042969
2002-02-26_06_00,282.5692443847656
2002-02-27_12_00,271.6664123535156
2002-02-27_06_00,259.388427734375
2002-02-27_12_00,260.62933349609375
2002-02-27_06_00,270.781005859375
2002-02-28_12_00,200.02842712402344
2002-02-28_06_00,186.06881713867188
2002-02-28_12_00,217.60015869140625
2002-02-28_06_00,287.32647705078125
2002-03-01_12_00,254.2881622314453
2002-03-01_06_00,205.3008270263672
2002-03-01_12_00,223.94659423828125
