date,value
2002-01-01_12_00,0.0
2002-01-01_06_00,0.0
2002-01-01_12_00,200.62208557128906
2002-01-01_06_00,185.54879760742188
2002-01-02_12_00,0.0
2002-01-02_06_00,0.0
2002-01-02_12_00,202.1580810546875
2002-01-02_06_00,203.67359924316406
2002-01-03_12_00,0.0
2002-01-03_06_00,0.0
2002-01-03_12_00,155.8118438720703
2002-01-03_06_00,181.20704650878906
2002-01-04_12_00,0.0
2002-01-04_06_00,0.0
2002-01-04_12_00,207.44192504882812
2002-01-04_06_00,205.41439819335938
2002-01-05_12_00,0.0
2002-01-05_06_00,0.0
2002-01-05_12_00,98.52928161621094
2002-01-05_06_00,69.3043212890625
2002-01-06_12_00,0.0
2002-01-06_06_00,0.0
2002-01-06_12_00,113.45919799804688
2002-01-06_06_00,128.24575805664062
2002-01-07_12_00,0.0
2002-01-07_06_00,0.0
2002-01-07_12_00,174.6534423828125
2002-01-07_06_00,202.85440063476562
2002-01-08_12_00,0.0
2002-01-08_06_00,0.0
2002-01-08_12_00,197.46815490722656
2002-01-08_06_00,199.67999267578125
2002-01-09_12_00,0.0
2002-01-09_06_00,0.0
2002-01-09_12_00,169.39007568359375
2002-01-09_06_00,123.69920349121094
2002-01-10_12_00,0.0
2002-01-10_06_00,0.0
2002-01-10_12_00,44.27775955200195
2002-01-10_06_00,41.96352005004883
2002-01-11_12_00,0.0
2002-01-11_06_00,0.0
2002-01-11_12_00,205.94688415527344
2002-01-11_06_00,217.27232360839844
2002-01-12_12_00,0.0
2002-01-12_06_00,0.0
2002-01-12_12_00,92.36479949951172
2002-01-12_06_00,53.06367874145508
2002-01-13_12_00,0.0
2002-01-13_06_00,0.0
2002-01-13_12_00,197.6934356689453
2002-01-13_06_00,198.12351989746094
2002-01-14_12_00,0.0
2002-01-14_06_00,0.0
2002-01-14_12_00,62.99647903442383
2002-01-14_06_00,66.41664123535156
2002-01-15_12_00,0.0
2002-01-15_06_00,0.0
2002-01-15_12_00,102.58432006835938
2002-01-15_06_00,117.57568359375
2002-01-16_12_00,0.0
2002-01-16_06_00,0.0
2002-01-16_12_00,50.72895812988281
2002-01-16_06_00,34.816001892089844
2002-01-17_12_00,0.0
2002-01-17_06_00,0.0
2002-01-17_12_00,214.60992431640625
2002-01-17_06_00,233.57440185546875
2002-01-18_12_00,0.0
2002-01-18_06_00,0.0
2002-01-18_12_00,228.3520050048828
2002-01-18_06_00,237.71136474609375
2002-01-19_12_00,0.0
2002-01-19_06_00,0.0
2002-01-19_12_00,182.76351928710938
2002-01-19_06_00,242.40127563476562
2002-01-20_12_00,0.0
2002-01-20_06_00,0.0
2002-01-20_12_00,149.99551391601562
2002-01-20_06_00,221.14303588867188
2002-01-21_12_00,0.0
2002-01-21_06_00,0.0
2002-01-21_12_00,82.12480163574219
2002-01-21_06_00,125.62432098388672
2002-01-22_12_00,0.0
2002-01-22_06_00,0.0
2002-01-22_12_00,231.05535888671875
2002-01-22_06_00,239.88223266601562
2002-01-23_12_00,0.0
2002-01-23_06_00,0.0
2002-01-23_12_00,21.66783905029297
2002-01-23_06_00,18.145280838012695
2002-01-24_12_00,0.0
2002-01-24_06_00,0.0
2002-01-24_12_00,98.20159912109375
2002-01-24_06_00,217.51808166503906
2002-01-25_12_00,0.0
2002-01-25_06_00,0.0
2002-01-25_12_00,236.7078399658203
2002-01-25_06_00,258.1299133300781
2002-01-26_12_00,0.0
2002-01-26_06_00,0.0
2002-01-26_12_00,233.41055297851562
2002-01-26_06_00,257.76129150390625
2002-01-27_12_00,0.0
2002-01-27_06_00,0.0
2002-01-27_12_00,242.38079833984375
2002-01-27_06_00,270.4383850097656
2002-01-28_12_00,0.0
2002-01-28_06_00,0.0
2002-01-28_12_00,184.0537567138672
2002-01-28_06_00,93.94175720214844
2002-01-29_12_00,0.0
2002-01-29_06_00,0.0
2002-01-29_12_00,86.3641586303711
2002-01-29_06_00,56.13568115234375
2002-01-30_12_00,0.0
2002-01-30_06_00,0.0
2002-01-30_12_00,58.28607940673828
2002-01-30_06_00,91.56607818603516
2002-01-31_12_00,0.0
2002-01-31_06_00,0.0
2002-01-31_12_00,79.54431915283203
2002-01-31_06_00,99.26656341552734
2002-02-01_12_00,0.0
2002-02-01_06_00,0.0
2002-02-01_12_00,179.09759521484375
2002-02-01_06_00,197.09951782226562
2002-02-02_12_00,0.0
2002-02-02_06_00,0.0
2002-02-02_12_00,258.4576110839844
2002-02-02_06_00,288.1126403808594
2002-02-03_12_00,0.0
2002-02-03_06_00,0.0
2002-02-03_12_00,244.14207458496094
2002-02-03_06_00,168.09983825683594
2002-02-04_12_00,0.0
2002-02-04_06_00,0.0
2002-02-04_12_00,250.65472412109375
2002-02-04_06_00,251.22816467285156
2002-02-05_12_00,0.0
2002-02-05_06_00,0.0
2002-02-05_12_00,278.7532653808594
2002-02-05_06_00,295.19873046875
2002-02-06_12_00,0.0
2002-02-06_06_00,0.0
2002-02-06_12_00,264.089599609375
2002-02-06_06_00,308.8793640136719
2002-02-07_12_00,0.0
2002-02-07_06_00,0.0
2002-02-07_12_00,71.12703704833984
2002-02-07_06_00,132.9152069091797
2002-02-08_12_00,0.0
2002-02-08_06_00,0.0
2002-02-08_12_00,111.92320251464844
2002-02-08_06_00,72.23296356201172
2002-02-09_12_00,0.0
2002-02-09_06_00,0.0
2002-02-09_12_00,116.2239990234375
2002-02-09_06_00,298.7008056640625
2002-02-10_12_00,0.0
2002-02-10_06_00,0.0
2002-02-10_12_00,92.89727783203125
2002-02-10_06_00,100.84352111816406
2002-02-11_12_00,0.0
2002-02-11_06_00,0.0
2002-02-11_12_00,248.34048461914062
2002-02-11_06_00,282.74688720703125
2002-02-12_12_00,0.0
2002-02-12_06_00,0.0
2002-02-12_12_00,199.1065673828125
2002-02-12_06_00,170.76223754882812
2002-02-13_12_00,0.0
2002-02-13_06_00,0.0
2002-02-13_12_00,312.7500915527344
2002-02-13_06_00,346.11199951171875
2002-02-14_12_00,0.0
2002-02-14_06_00,0.0
2002-02-14_12_00,293.1097717285156
2002-02-14_06_00,270.02880859375
2002-02-15_12_00,0.0
2002-02-15_06_00,0.0
2002-02-15_12_00,73.17504119873047
2002-02-15_06_00,99.69664001464844
2002-02-16_12_00,0.0
2002-02-16_06_00,0.0
2002-02-16_12_00,111.16544342041016
2002-02-16_06_00,137.4003143310547
2002-02-17_12_00,0.0
2002-02-17_06_00,0.0
2002-02-17_12_00,295.0348815917969
2002-02-17_06_00,356.5158386230469
2002-02-18_12_00,0.0
2002-02-18_06_00,0.0
2002-02-18_12_00,274.10430908203125
2002-02-18_06_00,293.2326354980469
2002-02-19_12_00,0.0
2002-02-19_06_00,0.0
2002-02-19_12_00,51.46623992919922
2002-02-19_06_00,62.095359802246094
2002-02-20_12_00,0.0
2002-02-20_06_00,0.0
2002-02-20_12_00,79.4419174194336
2002-02-20_06_00,73.03167724609375
2002-02-21_12_00,0.0
2002-02-21_06_00,0.0
2002-02-21_12_00,126.58688354492188
2002-02-21_06_00,145.12127685546875
2002-02-22_12_00,0.0
2002-02-22_06_00,0.0
2002-02-22_12_00,340.80767822265625
2002-02-22_06_00,384.9216003417969
2002-02-23_12_00,0.0
2002-02-23_06_00,0.0
2002-02-23_12_00,341.44256591796875
2002-02-23_06_00,363.9705505371094
2002-02-24_12_00,0.0
2002-02-24_06_00,0.0
2002-02-24_12_00,292.7001647949219
2002-02-24_06_00,376.4223937988281
2002-02-25_12_00,0.0
2002-02-25_06_00,0.0
2002-02-25_12_00,54.128639221191406
2002-02-25_06_00,66.37567901611328
2002-02-26_12_00,0.0
2002-02-26_06_00,0.0
2002-02-26_12_00,155.60704040527344
2002-02-26_06_00,168.3046417236328
2002-02-27_12_00,0.0
2002-02-27_06_00,0.0
2002-02-27_12_00,277.79071044921875
2002-02-27_06_00,291.18463134765625
2002-02-28_12_00,0.0
2002-02-28_06_00,0.0
2002-02-28_12_00,349.9212951660156
2002-02-28_06_00,254.36160278320312
2002-03-01_12_00,0.0
2002-03-01_06_00,0.0
2002-03-01_12_00,348.221435546875
2002-03-01_06_00,338.513916015625
