date,value
2002-01-01_12_00,259.9110107421875
2002-01-01_06_00,257.1490173339844
2002-01-01_12_00,263.33099365234375
2002-01-01_06_00,262.79998779296875
2002-01-02_12_00,259.27398681640625
2002-01-02_06_00,260.9800109863281
2002-01-02_12_00,266.6709899902344
2002-01-02_06_00,264.2760009765625
2002-01-03_12_00,263.3340148925781
2002-01-03_06_00,263.4830017089844
2002-01-03_12_00,264.8399963378906
2002-01-03_06_00,263.56298828125
2002-01-04_12_00,264.4930114746094
2002-01-04_06_00,264.1029968261719
2002-01-04_12_00,269.0830078125
2002-01-04_06_00,271.14898681640625
2002-01-05_12_00,271.385009765625
2002-01-05_06_00,270.7300109863281
2002-01-05_12_00,272.4360046386719
2002-01-05_06_00,273.19500732421875
2002-01-06_12_00,273.2019958496094
2002-01-06_06_00,273.25201416015625
2002-01-06_12_00,272.6650085449219
2002-01-06_06_00,271.1549987792969
2002-01-07_12_00,269.593994140625
2002-01-07_06_00,266.7309875488281
2002-01-07_12_00,267.5979919433594
2002-01-07_06_00,266.4739990234375
2002-01-08_12_00,267.14300537109375
2002-01-08_06_00,267.1830139160156
2002-01-08_12_00,272.9700012207031
2002-01-08_06_00,273.6340026855469
2002-01-09_12_00,275.1700134277344
2002-01-09_06_00,276.35699462890625
2002-01-09_12_00,280.86700439453125
2002-01-09_06_00,280.218994140625
2002-01-10_12_00,279.31201171875
2002-01-10_06_00,278.10198974609375
2002-01-10_12_00,278.4750061035156
2002-01-10_06_00,277.22698974609375
2002-01-11_12_00,274.0639953613281
2002-01-11_06_00,272.7090148925781
2002-01-11_12_00,276.85101318359375
2002-01-11_06_00,274.906005859375
2002-01-12_12_00,274.1189880371094
2002-01-12_06_00,273.0539855957031
2002-01-12_12_00,276.00299072265625
2002-01-12_06_00,274.1759948730469
2002-01-13_12_00,271.9849853515625
2002-01-13_06_00,271.68499755859375
2002-01-13_12_00,277.7869873046875
2002-01-13_06_00,275.36199951171875
2002-01-14_12_00,274.2590026855469
2002-01-14_06_00,276.4939880371094
2002-01-14_12_00,278.47900390625
2002-01-14_06_00,274.18499755859375
2002-01-15_12_00,274.47198486328125
2002-01-15_06_00,272.98199462890625
2002-01-15_12_00,274.37298583984375
2002-01-15_06_00,272.7409973144531
2002-01-16_12_00,271.1889953613281
2002-01-16_06_00,271.42498779296875
2002-01-16_12_00,272.9230041503906
2002-01-16_06_00,274.2770080566406
2002-01-17_12_00,270.05499267578125
2002-01-17_06_00,267.322998046875
2002-01-17_12_00,271.0719909667969
2002-01-17_06_00,269.3450012207031
2002-01-18_12_00,266.6159973144531
2002-01-18_06_00,265.96600341796875
2002-01-18_12_00,266.0320129394531
2002-01-18_06_00,263.3080139160156
2002-01-19_12_00,264.6080017089844
2002-01-19_06_00,264.63800048828125
2002-01-19_12_00,269.3940124511719
2002-01-19_06_00,269.0799865722656
2002-01-20_12_00,269.7560119628906
2002-01-20_06_00,269.5480041503906
2002-01-20_12_00,273.08099365234375
2002-01-20_06_00,271.1570129394531
2002-01-21_12_00,270.9580078125
2002-01-21_06_00,272.22601318359375
2002-01-21_12_00,273.4440002441406
2002-01-21_06_00,273.12701416015625
2002-01-22_12_00,273.5679931640625
2002-01-22_06_00,273.2489929199219
2002-01-22_12_00,279.69000244140625
2002-01-22_06_00,277.7049865722656
2002-01-23_12_00,276.8630065917969
2002-01-23_06_00,279.8210144042969
2002-01-23_12_00,281.2099914550781
2002-01-23_06_00,277.98199462890625
2002-01-24_12_00,275.21600341796875
2002-01-24_06_00,273.82501220703125
2002-01-24_12_00,275.6830139160156
2002-01-24_06_00,273.6579895019531
2002-01-25_12_00,272.7640075683594
2002-01-25_06_00,272.17401123046875
2002-01-25_12_00,280.0840148925781
2002-01-25_06_00,276.5119934082031
2002-01-26_12_00,275.677001953125
2002-01-26_06_00,274.12701416015625
2002-01-26_12_00,280.3869934082031
2002-01-26_06_00,279.48199462890625
2002-01-27_12_00,278.2340087890625
2002-01-27_06_00,276.4490051269531
2002-01-27_12_00,283.37200927734375
2002-01-27_06_00,280.8349914550781
2002-01-28_12_00,278.7590026855469
2002-01-28_06_00,277.1510009765625
2002-01-28_12_00,282.9289855957031
2002-01-28_06_00,280.3059997558594
2002-01-29_12_00,276.26300048828125
2002-01-29_06_00,274.50799560546875
2002-01-29_12_00,275.6789855957031
2002-01-29_06_00,274.56500244140625
2002-01-30_12_00,273.87298583984375
2002-01-30_06_00,273.1109924316406
2002-01-30_12_00,273.3559875488281
2002-01-30_06_00,272.26300048828125
2002-01-31_12_00,272.92401123046875
2002-01-31_06_00,273.13299560546875
2002-01-31_12_00,273.5459899902344
2002-01-31_06_00,273.40301513671875
2002-02-01_12_00,273.9670104980469
2002-02-01_06_00,271.97900390625
2002-02-01_12_00,270.77899169921875
2002-02-01_06_00,271.12200927734375
2002-02-02_12_00,266.76800537109375
2002-02-02_06_00,267.5830078125
2002-02-02_12_00,271.6300048828125
2002-02-02_06_00,271.5329895019531
2002-02-03_12_00,270.2699890136719
2002-02-03_06_00,272.28900146484375
2002-02-03_12_00,271.822998046875
2002-02-03_06_00,273.0060119628906
2002-02-04_12_00,265.2539978027344
2002-02-04_06_00,264.02801513671875
2002-02-04_12_00,266.135009765625
2002-02-04_06_00,264.0159912109375
2002-02-05_12_00,262.1080017089844
2002-02-05_06_00,263.2090148925781
2002-02-05_12_00,269.56500244140625
2002-02-05_06_00,270.9309997558594
2002-02-06_12_00,271.2799987792969
2002-02-06_06_00,269.95001220703125
2002-02-06_12_00,272.8609924316406
2002-02-06_06_00,272.072998046875
2002-02-07_12_00,270.7330017089844
2002-02-07_06_00,272.9739990234375
2002-02-07_12_00,273.8030090332031
2002-02-07_06_00,274.2439880371094
2002-02-08_12_00,273.51300048828125
2002-02-08_06_00,273.62701416015625
2002-02-08_12_00,275.5530090332031
2002-02-08_06_00,275.0150146484375
2002-02-09_12_00,276.0610046386719
2002-02-09_06_00,276.56201171875
2002-02-09_12_00,278.39801025390625
2002-02-09_06_00,279.02099609375
2002-02-10_12_00,280.2799987792969
2002-02-10_06_00,277.7799987792969
2002-02-10_12_00,275.6719970703125
2002-02-10_06_00,272.85400390625
2002-02-11_12_00,270.65899658203125
2002-02-11_06_00,269.54901123046875
2002-02-11_12_00,273.6109924316406
2002-02-11_06_00,273.5090026855469
2002-02-12_12_00,274.9320068359375
2002-02-12_06_00,274.96099853515625
2002-02-12_12_00,277.54998779296875
2002-02-12_06_00,274.14898681640625
2002-02-13_12_00,269.8800048828125
2002-02-13_06_00,268.9110107421875
2002-02-13_12_00,273.8210144042969
2002-02-13_06_00,271.54400634765625
2002-02-14_12_00,271.2510070800781
2002-02-14_06_00,271.7040100097656
2002-02-14_12_00,279.62701416015625
2002-02-14_06_00,275.86199951171875
2002-02-15_12_00,275.9630126953125
2002-02-15_06_00,276.1780090332031
2002-02-15_12_00,277.343994140625
2002-02-15_06_00,275.6809997558594
2002-02-16_12_00,275.0350036621094
2002-02-16_06_00,275.3900146484375
2002-02-16_12_00,277.9049987792969
2002-02-16_06_00,274.822998046875
2002-02-17_12_00,273.6659851074219
2002-02-17_06_00,271.0660095214844
2002-02-17_12_00,275.0849914550781
2002-02-17_06_00,272.6579895019531
2002-02-18_12_00,271.9209899902344
2002-02-18_06_00,271.8210144042969
2002-02-18_12_00,279.9490051269531
2002-02-18_06_00,277.8009948730469
2002-02-19_12_00,277.8110046386719
2002-02-19_06_00,278.8710021972656
2002-02-19_12_00,281.4110107421875
2002-02-19_06_00,281.4110107421875
2002-02-20_12_00,283.3500061035156
2002-02-20_06_00,283.6809997558594
2002-02-20_12_00,281.87200927734375
2002-02-20_06_00,277.0870056152344
2002-02-21_12_00,274.989990234375
2002-02-21_06_00,274.0260009765625
2002-02-21_12_00,273.87200927734375
2002-02-21_06_00,272.1400146484375
2002-02-22_12_00,271.4949951171875
2002-02-22_06_00,269.9590148925781
2002-02-22_12_00,275.03399658203125
2002-02-22_06_00,271.22100830078125
2002-02-23_12_00,271.2850036621094
2002-02-23_06_00,270.9219970703125
2002-02-23_12_00,279.9010009765625
2002-02-23_06_00,276.16400146484375
2002-02-24_12_00,275.9230041503906
2002-02-24_06_00,274.60699462890625
2002-02-24_12_00,284.0429992675781
2002-02-24_06_00,281.7919921875
2002-02-25_12_00,281.6099853515625
2002-02-25_06_00,281.6189880371094
2002-02-25_12_00,275.7430114746094
2002-02-25_06_00,273.9849853515625
2002-02-26_12_00,272.6260070800781
2002-02-26_06_00,270.18499755859375
2002-02-26_12_00,270.3179931640625
2002-02-26_06_00,268.3349914550781
2002-02-27_12_00,266.8299865722656
2002-02-27_06_00,265.875
2002-02-27_12_00,267.6130065917969
2002-02-27_06_00,268.2569885253906
2002-02-28_12_00,263.4830017089844
2002-02-28_06_00,263.1910095214844
2002-02-28_12_00,271.6919860839844
2002-02-28_06_00,271.32000732421875
2002-03-01_12_00,268.8909912109375
2002-03-01_06_00,264.989013671875
2002-03-01_12_00,271.82501220703125
2002-03-01_06_00,271.0849914550781
2002-03-02_12_00,272.8489990234375
2002-03-02_06_00,273.6889953613281
2002-03-02_12_00,273.7149963378906
2002-03-02_06_00,273.0780029296875
2002-03-03_12_00,267.7850036621094
2002-03-03_06_00,263.6719970703125
2002-03-03_12_00,263.34600830078125
2002-03-03_06_00,260.07000732421875
2002-03-04_12_00,254.82101440429688
2002-03-04_06_00,252.1999969482422
2002-03-04_12_00,260.1650085449219
2002-03-04_06_00,264.385009765625
2002-03-05_12_00,265.614013671875
2002-03-05_06_00,263.2950134277344
2002-03-05_12_00,270.74700927734375
2002-03-05_06_00,273.6239929199219
2002-03-06_12_00,274.2460021972656
2002-03-06_06_00,274.1050109863281
2002-03-06_12_00,276.0469970703125
2002-03-06_06_00,273.89898681640625
2002-03-07_12_00,273.04400634765625
2002-03-07_06_00,273.5409851074219
2002-03-07_12_00,275.5469970703125
2002-03-07_06_00,275.73199462890625
2002-03-08_12_00,281.40399169921875
2002-03-08_06_00,284.0260009765625
2002-03-08_12_00,285.70098876953125
2002-03-08_06_00,286.7030029296875
2002-03-09_12_00,286.94000244140625
2002-03-09_06_00,286.375
2002-03-09_12_00,273.5169982910156
2002-03-09_06_00,270.218994140625
2002-03-10_12_00,267.9700012207031
2002-03-10_06_00,264.8030090332031
2002-03-10_12_00,269.6730041503906
2002-03-10_06_00,269.33599853515625
2002-03-11_12_00,268.45001220703125
2002-03-11_06_00,268.26800537109375
2002-03-11_12_00,279.6340026855469
2002-03-11_06_00,275.67498779296875
2002-03-12_12_00,272.21600341796875
2002-03-12_06_00,271.8380126953125
2002-03-12_12_00,281.9010009765625
2002-03-12_06_00,278.6679992675781
2002-03-13_12_00,276.62701416015625
2002-03-13_06_00,275.1830139160156
2002-03-13_12_00,286.1029968261719
2002-03-13_06_00,282.4150085449219
2002-03-14_12_00,279.1719970703125
2002-03-14_06_00,278.9230041503906
2002-03-14_12_00,285.125
2002-03-14_06_00,285.6730041503906
2002-03-15_12_00,286.3059997558594
2002-03-15_06_00,277.4020080566406
2002-03-15_12_00,279.8609924316406
2002-03-15_06_00,276.2070007324219
2002-03-16_12_00,273.875
2002-03-16_06_00,272.6650085449219
2002-03-16_12_00,275.906005859375
2002-03-16_06_00,273.5790100097656
2002-03-17_12_00,273.7590026855469
2002-03-17_06_00,272.8819885253906
2002-03-17_12_00,275.8869934082031
2002-03-17_06_00,275.6029968261719
2002-03-18_12_00,275.3479919433594
2002-03-18_06_00,272.2749938964844
2002-03-18_12_00,280.6189880371094
